config_id,repeat,best_cost_minutes,found_at_iteration,execution_time,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max
15,7,1166.6429360166665,2746,57.8,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
15,8,1207.5933827666668,3589,74.56,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
15,9,1215.8258847166667,1788,37.06,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
15,10,1238.9342315166666,1492,31.04,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
16,1,1244.3001071333333,2349,48.88,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
16,2,1258.4312738666667,2457,51.48,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
16,3,1205.8759536166665,2388,49.43,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
16,4,1351.8656455999999,1684,34.46,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
16,5,1243.0140981333332,2900,60.26,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
16,6,1269.5183156833332,2470,51.28,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
16,7,1244.1420391333334,3673,75.69,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
16,8,1292.040492866667,1702,35.48,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
16,9,1322.3958037166667,2264,46.42,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
16,10,1279.2483175666669,1858,38.59,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
17,1,1198.1893834166665,3361,69.04,40,5000,0.5,2.0,0.05,1200,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
